,Date,Shape,Location,State,Country,Lat,Lng,Closest Airport,Closest Airport Address,Closest Military Base,Closest Military Base Address
2468,2016-07-08,Circle ,Lathrop ,MO ,USA ,39.5483354,-94.3299461,Kansas City International Airport,"1 International Square, Kansas City",US Army Public Affairs,"601 E 12th St, Kansas City"
2469,2016-07-08,Lights Only ,Middleton ,ID ,USA ,43.7068281,-116.6201357,Boise Airport,"3201 West Airport Way #1000, Boise",US Army Department,"4279 W Harvard St, Boise"
2470,2016-07-08,Lights Only ,Ottawa ,IL ,USA ,41.3455892,-88.8425769,Airport: Trovero,"264 North 2550th Road, Peru",Illinois Army National Guard Recruiting,"803 Ziegler Ave #4933, Aurora"
2471,2016-07-08,Circle ,Oscoda ,MI ,USA ,44.42028879999999,-83.3307974,Phoenix Flight Services,"4073 East Van Ettan Street, Oscoda",Sage Control Ordinance Inc,"6340 Sage St, Oscoda"
2472,2016-07-08,Circle ,Hicksville ,NY ,USA ,40.7580684,-73.5240738,,,United States Department of the Army,"Area Command, Brooklyn"
2473,2016-07-08,Rectangle ,New Freedom ,PA ,USA ,39.7378811,-76.7013609,York Aviation | York Airport,"6054 West Lincoln Highway, Thomasville",Army United States Department,"2201 Aberdeen Blvd, Aberdeen Proving Ground"
2474,2016-07-09,Orb/Sphere ,I-196 at Mile Marker 7 ,MI ,USA ,42.5810856,-86.2155159,J P's Field Airport,Zeeland,US Army Reserve,"3870 3 Mile Rd NW, Grand Rapids"
2475,2016-07-09,Egg ,Syracuse ,NY ,USA ,43.0481221,-76.14742439999999,Crouse Irving Memorial Hospital Heliport,Syracuse,Army Reserve Center,"420 Electronics Pkwy, Liverpool"
2476,2016-07-09,Unknown ,Amboy ,WA ,USA ,45.9101124,-122.446487,Portland International Airport,"7000 Northeast Airport Way, Portland",Air National Guard 142 Fighter,"6801 NE Cornfoot Rd, Portland"
2477,2016-07-09,Lights Only ,Wonder Lake ,IL ,USA ,42.3852983,-88.3473126,Airport at Grand Geneva Resort & Spa,"Grand Geneva Way, Lake Geneva",A.R.M.Y PVT LTD,"1014 Plum Grove Rd Ste 204, Schaumburg"
2478,2016-07-09,Lights Only ,Between Wabash and Marion onq5 ,IN ,USA ,40.614259,-85.6938916,Miller Strip Airport-0II3,"9610 South 200 East, Bunker Hill",US Army Department,"4311 Engle Ridge Dr, Fort Wayne"
2479,2016-07-09,Lights Only ,Waupun ,WI ,USA ,43.6333219,-88.72955189999999,Wittman Regional Airport,"525 West 20th Avenue, Oshkosh",US Army Department,"474 Fond Du Lac Ave, Fond du Lac"
2480,2016-07-09,Lights Only ,Aurora ,CO ,USA ,39.7294319,-104.8319195,Denver International Airport,"8500 Peña Boulevard, Denver",US Army Department,"721 19th St #485, Denver"
2481,2016-07-09,Lights Only ,Dearborn ,MI ,USA ,42.3222599,-83.17631449999999,Detroit Metropolitan Wayne County Airport,"11050 West G Rogell Drive #602, Detroit",US Army Department,"2254 Crooks Rd, Rochester Hills"
2482,2016-07-09,Lights Only ,Mountain View ,OK ,USA ,35.0975577,-98.7464552,Oklahoma Air and Space Port,"121 1st Street, Burns Flat",US Army Department,"2936 Currie Rd, Fort Sill"
2483,2016-07-09,Oval ,Richland ,WA ,USA ,46.28042000000001,-119.2751996,Tri-Cities Airport,"3601 North 20th Avenue, Pasco",US Army Department,"1011 E Ainsworth Ave, Pasco"
2484,2016-07-09,Rectangle ,Albuquerque ,NM ,USA ,35.0843859,-106.650422,Albuquerque Rgnl Medical Center,Albuquerque,Museum of Military Families,"b, 546 NM-333, Tijeras"
2485,2016-07-09,Teardrop ,Gray ,TN ,USA ,36.4198258,-82.4765352,Tri-Cities Airport,"2525 Tennessee 75 Suite 301, Blountville",Military Order of World Wars,"435 Lee St, Arlington"
2486,2016-07-09,Circle ,Clemmons ,NC ,USA ,36.0215258,-80.3819984,Piedmont Triad International Airport,"1000 Ted Johnson Parkway, Greensboro",US Army Reserve,"1245 N Martin Luther King Jr Dr, Winston-Salem"
2487,2016-07-09,Circle ,Lakeside ,CA ,USA ,32.8572718,-116.9222488,San Diego International Airport,"3225 North Harbor Drive, San Diego",Military Sealift Command Exchanges,"9284 Balboa Ave, San Diego"
2488,2016-07-09,Circle ,Vancouver ,WA ,USA ,45.6257379,-122.6760886,Mountaindale Airstrip,Banks,Air National Guard 142 Fighter,"6801 NE Cornfoot Rd, Portland"
2489,2016-07-09,Cigar/Cylinder ,Wilmington ,OH ,USA ,39.4453393,-83.8285375,Lumberton Airport (OH77),"155 New Burlington Road, Wilmington",Military Surplus,"1250 US-50, Milford"
2490,2016-07-09,Cigar/Cylinder ,Oldsmar ,FL ,USA ,28.0341847,-82.6650992,Tampa International Airport,"4100 George J Bean Parkway, Tampa",US Army Department,"5100 W Kennedy Blvd, Tampa"
2491,2016-07-09,Triangle ,Fayetteville ,NC ,USA ,35.0526641,-78.87835849999999,Fayetteville Regional Airport,"400 Airport Road, Fayetteville",Drop Zone Military Surplus,"6033 Yadkin Rd, Fayetteville"
2492,2016-07-09,Triangle ,Hurt ,VA ,USA ,37.0926426,-79.2964125,Lynchburg Regional Airport,"350 Terminal Drive Suite 100, Lynchburg",US Marine Corps Department,"3158 Halifax Rd, South Boston"
2493,2016-07-09,Triangle ,Spring ,TX ,USA ,30.0799405,-95.41716009999999,George Bush Intercontinental Airport,"2800 North Terminal Road, Houston",Top Brass Military & Tactical,"2500 North Fwy, Houston"
2494,2016-07-09,Cigar/Cylinder ,Saint Augustine ,FL ,USA ,29.9012437,-81.31243409999999,Flagler Executive Airport,"201 Airport Road, Palm Coast",US Defense Department,"Roosevelt Blvd, Jacksonville Naval Air Station"
2495,2016-07-09,Diamond ,Vancouver ,WA ,USA ,45.6257379,-122.6760886,Mountaindale Airstrip,Banks,Air National Guard 142 Fighter,"6801 NE Cornfoot Rd, Portland"
2496,2016-07-10,Diamond ,Bangor ,ME ,USA ,44.8016128,-68.7712257,Lucky Landing Marina and Seaplane Base,Glenburn,Maine Military Supply,"179 Main Rd, Holden"
2497,2016-07-10,Triangle ,Frederick ,MD ,USA ,39.41426879999999,-77.4105409,Norwood,Sandy Spring,Us Army,"1413 Research Blvd, Rockville"
2498,2016-07-10,Other ,Colorado Springs ,CO ,USA ,38.8338816,-104.8213634,Colorado Springs Airport,"7770 Milton E Proby Parkway, Colorado Springs",US Army Department,"CO-115, Colorado Springs"
2499,2016-07-10,Circle ,West Gardiner ,ME ,USA ,44.2275119,-69.88642589999999,Augusta State Airport,"75 Airport Road, Augusta",US Army Reserve Training Center,"1072 Minot Ave, Auburn"
2500,2016-07-10,Circle ,Owings Mills ,MD ,USA ,39.4195499,-76.7802528,Norwood,Sandy Spring,Us Army,"1413 Research Blvd, Rockville"
2501,2016-07-10,Circle ,Greenwich ,CT ,USA ,41.0262417,-73.6281964,LaGuardia Airport,New York,United States Department of the Army,"Area Command, Brooklyn"
2502,2016-07-10,Circle ,Galion ,OH ,USA ,40.7336687,-82.78990259999999,Mansfield Lahm Regional Airport,"2000 Harrington Memorial Road, Mansfield",US Army Reserve,"450 Pennsylvania Ave, Delaware"
2503,2016-07-10,Lights Only ,Van Nuys ,CA ,USA ,34.1898566,-118.451357,Van Nuys County Court Heliport,Van Nuys,US Army Department,Los Alamitos
2504,2016-07-10,Lights Only ,Chesterfield ,MO ,USA ,38.6631083,-90.5770675,St. Louis Lambert International Airport,"10701 Lambert International Boulevard, St. Louis",Overlord Military Collectibles,"3008 Woodson Rd, Overland"
2505,2016-07-10,Lights Only ,Richmond ,ME ,USA ,44.0880682,-69.80257879999999,Augusta State Airport,"75 Airport Road, Augusta",US Army Reserve Training Center,"1072 Minot Ave, Auburn"
2506,2016-07-10,Lights Only ,Estes Park ,CO ,USA ,40.3772059,-105.5216651,Boulder Municipal Airport-BDU,"3327 Airport Road, Boulder",Army Recruiting Longmont,"1834 Main St Unit 3, Longmont"
2507,2016-07-10,Unknown ,Los Banos ,CA ,USA ,37.0582786,-120.8499151,Merced Regional Airport,"20 Macready Drive, Merced",California National Guard,"2302 San Felipe Rd, Hollister"
2508,2016-07-10,Other ,Fairborn ,OH ,USA ,39.8208925,-84.01937889999999,Dayton International Airport,"3600 Terminal Drive, Dayton",US Army Transportation,"1515 W High St, Springfield"
2509,2016-07-10,Fireball ,Brightwood ,OR ,USA ,45.37623019999999,-122.0167481,McGill Airstrip,Estacada,Air National Guard 142 Fighter,"6801 NE Cornfoot Rd, Portland"
2510,2016-07-10,Fireball ,Rochester ,NH ,USA ,43.304526,-70.97561859999999,Portsmouth International Airport at Pease,"36 Airline Avenue, Portsmouth",US Army Department,"1059 Canal St, Manchester"
2511,2016-07-10,Unknown ,Boise ,ID ,USA ,43.6150186,-116.2023137,May Airport-0U8,"Pahsimeroi Rd, Boise",US Army Department,"4279 W Harvard St, Boise"
2512,2016-07-10,Fireball ,Lake Zurich ,IL ,USA ,42.19696889999999,-88.0934108,O'Hare International Airport,"10000 West O'Hare Avenue, Chicago",A.R.M.Y PVT LTD,"1014 Plum Grove Rd Ste 204, Schaumburg"
2513,2016-07-10,Triangle ,Kihei ,HI ,USA ,20.7644275,-156.4450063,Kahului Airport,"1 Keolani Place, Kahului",US Army Reserve center,"1686 W Kaahumanu Ave, Wailuku"
2514,2016-07-10,Unknown ,Bowie ,MD ,USA ,39.0067768,-76.77913649999999,Norwood,Sandy Spring,US Army Department,"5611 Columbia Pike, Falls Church"
2515,2016-07-11,Teardrop ,Henderson ,NV ,USA ,36.0395247,-114.9817213,McCarran International Airport,"5757 Wayne Newton Boulevard, Las Vegas",US Army Department,"2901 E Sahara Ave, Las Vegas"
2516,2016-07-11,Circle ,Coloma ,MI ,USA ,42.1861494,-86.30835599999999,Clear Sky,Kalamazoo,US Army Recruiting Office Benton Harbor,"1355 Mall Dr, Benton Harbor"
